Rank,Pos,ID,Name,Team,Opp,Comp,Yards,TD,Int,Att,Yards,TD,Rec,Yards,TD,Fantasy Points
162,WR,13631,"Washington, James",PIT,NEP,0,0,0,0,0.06,0,0.03,2.97,42,0.14,8
163,TE,13189,"Engram, Evan",NYG,DAL,0,0,0,0,0.16,1,0,3.32,41,0.23,8
164,TE,10312,"Rudolph, Kyle",MIN,ATL,0,0,0,0,0,0,0,3.38,32,0.31,8
165,WR,13348,"Moore, David",SEA,CIN,0,0,0,0,0.25,2,0,2.4,42,0.41,8
166,WR,12197,"Perriman, Breshad",TBB,SFO,0,0,0,0,0.18,0,0,2.8,43,0.19,8
167,WR,11672,"Lee, Marqise",JAC,KCC,0,0,0,0,0.15,1,0,3.35,41,0.22,8
168,TE,11250,"Eifert, Tyler",CIN,SEA,0,0,0,0,0,0,0,3.05,33,0.29,8
169,RB,11390,"Murray, Latavius",NOS,HOU,0,0,0,0,8.45,35,0.51,1.4,9,0.04,8
170,WR,13412,"Cole, Keelan",JAC,KCC,0,0,0,0,0.09,1,0,3.46,44,0.04,8
171,WR,9308,"Amendola, Danny",DET,ARI,0,0,0,0,0.11,0,0,3.82,37,0.05,8
172,RB,14223,"Mattison, Alexander",MIN,ATL,0,0,0,0,12.7,41,0.19,2.25,12,0,8
173,RB,14085,"Pollard, Tony",DAL,NYG,0,0,0,0,6.81,58,0.05,1.16,8,0,8
174,RB,13139,"Williams, Jamaal",GBP,CHI,0,0,0,0,7.54,30,0.21,1.71,15,0.03,8
175,TE,13674,"Goedert, Dallas",PHI,WAS,0,0,0,0,0,0,0,2.68,26,0.38,8
176,RB,13144,"McGuire, Elijah",NYJ,BUF,0,0,0,0,7.97,24,0.21,2.01,19,0.1,8
177,TE,13763,"Dissly, Will",SEA,CIN,0,0,0,0,0,0,0,2.3,29,0.45,8
178,WR,14122,"Slayton, Darius",NYG,DAL,0,0,0,0,0.2,1,0,2.5,35,0.18,8
179,WR,11975,"Gabriel, Taylor",CHI,GBP,0,0,0,0,0.62,4,0,3.53,36,0.04,8
180,WR,12648,"Doctson, Josh",WAS,PHI,0,0,0,0,0.08,0,0,3.31,43,0.24,8
181,WR,13155,"Ross, John",CIN,SEA,0,0,0,0,0.04,0,0,2.01,26,0.44,8
182,WR,13158,"Westbrook, Dede",JAC,KCC,0,0,0,0,0.42,3,0,3.07,37,0.22,8
183,WR,12184,"Crowder, Jamison",NYJ,BUF,0,0,0,0,0.31,2,0,3.68,40,0.06,8
184,RB,10389,"Lewis, Dion",TEN,CLE,0,0,0,0,8.97,33,0.06,3.02,21,0.08,8
185,WR,11850,"Enunwa, Quincy",NYJ,BUF,0,0,0,0,0.08,0,0,3.08,37,0.11,8
186,WR,12656,"Higgins, Rashard",CLE,TEN,0,0,0,0,0.1,0,0,2.36,37,0.24,7
187,TE,13193,"Smith, Jonnu",TEN,CLE,0,0,0,0,0.01,0,0,2.35,27,0.25,7
188,WR,12505,"Humphries, Adam",TEN,CLE,0,0,0,0,0.09,0,0,2.94,30,0.11,7
189,RB,12636,"Smallwood, Wendell",PHI,WAS,0,0,0,0,5.21,21,0.13,1.56,13,0.1,7
190,RB,13378,"Breida, Matt",SFO,TBB,0,0,0,0,6.86,35,0.1,1.2,12,0.06,7
191,RB,12912,"Richard, Jalen",OAK,DEN,0,0,0,0,2.78,14,0.04,3.29,28,0.05,7
192,TE,12677,"Hooper, Austin",ATL,MIN,0,0,0,0,0,0,0,3.47,33,0.19,7
193,RB,12157,"Johnson, Duke",HOU,NOS,0,0,0,0,4.75,20,0.13,2.09,19,0.03,7
194,RB,11834,"Blue, Alfred",JAC,KCC,0,0,0,0,11.37,41,0.19,1.43,10,0,7
195,WR,12181,"Agholor, Nelson",PHI,WAS,0,0,0,0,0.29,2,0,2.78,31,0.19,7
196,WR,13649,"Hamilton, DaeSean",DEN,OAK,0,0,0,0,0.08,0,0,3.28,33,0.14,7
197,RB,10709,"Martin, Doug",OAK,DEN,0,0,0,0,9.29,39,0.21,1.47,12,0,7
198,WR,10737,"Benjamin, Travis",LAC,IND,0,0,0,0,0.6,4,0,2.38,34,0.16,7
199,RB,7942,"Sproles, Darren",PHI,WAS,0,0,0,0,3.7,13,0.14,1.54,12,0.12,7
200,RB,13871,"Hilliard, Dontrell",CLE,TEN,0,0,0,0,4.34,18,0,2.54,20,0.07,7
201,WR,12391,"Williams, Tyrell",OAK,DEN,0,0,0,0,0.15,0,0,2.78,34,0.2,7
202,WR,11951,"Snead, Willie",BAL,MIA,0,0,0,0,0.06,0,0,2.84,32,0.01,6
203,WR,14101,"Harry, N'Keal",NEP,PIT,0,0,0,0,0.26,1,0,2.5,31,0.08,6
204,TE,8247,"Davis, Vernon",WAS,PHI,0,0,0,0,0,0,0,1.68,25,0.12,6
205,TE,12110,"Brate, Cameron",TBB,SFO,0,0,0,0,0,0,0,2.31,23,0.37,6
206,WR,10973,"Beasley, Cole",BUF,NYJ,0,0,0,0,0.15,1,0,2.76,30,0.06,6
207,WR,10308,"Cobb, Randall",DAL,NYG,0,0,0,0,0.06,0,0,2.82,25,0.06,6
208,RB,12164,"Davis, Mike",CHI,GBP,0,0,0,0,4.65,19,0.11,1.62,11,0.04,6
