Rank,Pos,ID,Name,Team,Opp,Comp,Yards,TD,Int,Att,Yards,TD,Rec,Yards,TD,Fantasy Points
517,QB,11170,"Bray, Tyler",CHI,GBP,0,0,0,0,0,0,0,0,0,0,0
518,QB,11643,"McCarron, AJ",HOU,NOS,0.28,3,0,0,0.21,0,0,0,0,0,0
519,QB,11494,"Simms, Matt",ATL,MIN,0,0,0,0,0,0,0,0,0,0,0
520,QB,11441,"Griffin, Ryan",TBB,SFO,0,0,0,0,0,0,0,0,0,0,0
521,WR,11409,"Johnson, Charles",PHI,WAS,0,0,0,0,0,0,0,0,0,0,0
522,WR,11406,"Butler, Brice",MIA,BAL,0,0,0,0,0,0,0,0.31,3,0.06,0
523,RB,11177,"Barner, Kenjon",ATL,MIN,0,0,0,0,0.46,1,0,0.04,1,0,0
524,RB,11175,"Ellington, Andre",TBB,SFO,0,0,0,0,0.69,0,0,0.32,4,0,0
525,QB,11152,"Glennon, Mike",OAK,DEN,0.61,7,0.04,0,0.31,0,0,0,0,0,0
526,QB,11649,"Savage, Tom",DET,ARI,0.22,2,0,0.06,0.08,0,0,0,0,0,0
527,QB,11150,"Smith, Geno",SEA,CIN,0.11,1,0,0,0.58,0,0,0,0,0,0
528,RB,10985,"Olawale, Jamize",DAL,NYG,0,0,0,0,0,0,0,0.01,0,0,0
529,TE,10940,"Carrier, Derek",OAK,DEN,0,0,0,0,0,0,0,0.33,3,0.03,0
530,RB,10932,"Bolden, Brandon",NEP,PIT,0,0,0,0,0.43,2,0.04,0.19,1,0.08,0
531,WR,10735,"Quick, Brian",WAS,PHI,0,0,0,0,0,0,0,0.19,1,0,0
532,WR,10721,"Floyd, Michael",BAL,MIA,0,0,0,0,0,0,0,0.37,4,0,0
533,RB,10368,"Jones, Taiwan",HOU,NOS,0,0,0,0,0,0,0,0.02,0,0,0
534,TE,11647,"Thomas, Logan",DET,ARI,0,0,0,0,0,0,0,0.16,2,0,0
535,TE,11785,"Rodgers, Richard",PHI,WAS,0,0,0,0,0,0,0,0.09,1,0,0
536,TE,12351,"Derby, A.J.",NOS,HOU,0,0,0,0,0,0,0,0.12,1,0,0
537,WR,12177,"White, Kevin",FA,,0,0,0,0,0,0,0,0.1,2,0,0
538,WR,12338,"Davis, Geremy",LAC,IND,0,0,0,0,0,0,0,0,0,0,0
539,WR,12319,"Nelson, J.J.",OAK,DEN,0,0,0,0,0.11,0,0,0.22,2,0,0
540,TE,12210,"Walford, Clive",NYJ,BUF,0,0,0,0,0,0,0,0.15,1,0,0
541,TE,12209,"Koyack, Ben",JAC,KCC,0,0,0,0,0,0,0,0.14,1,0.01,0
542,TE,12207,"O'Leary, Nick",MIA,BAL,0,0,0,0,0.03,0,0,0.38,4,0.03,0
543,TE,12206,"Williams, Maxx",ARI,DET,0,0,0,0,0.19,0,0,0.47,4,0.07,0
544,TE,12196,"Mayle, Vince",LAC,IND,0,0,0,0,0,0,0,0,0,0,0
545,RB,12169,"Rawls, Thomas",JAC,KCC,0,0,0,0,1.45,4,0,0.08,0,0,0
546,QB,11835,"Fales, David",DET,ARI,0.05,0,0,0,0.01,0,0,0,0,0,0
547,QB,12145,"Mannion, Sean",MIN,ATL,0.29,3,0,0,1.05,0,0,0,0,0,0
548,TE,12124,"Cunningham, Jerome",DET,ARI,0,0,0,0,0,0,0,0,0,0,0
549,RB,12040,"Smith, Keith",OAK,DEN,0,0,0,0,0.05,0,0,0.21,1,0,0
550,WR,12038,"Ross, Rashad",CAR,LAR,0,0,0,0,0,0,0,0,0,0,0
551,RB,11964,"Perry, Senorise",BUF,NYJ,0,0,0,0,0,0,0,0,0,0,0
552,RB,11894,"Fluellen, David",TEN,CLE,0,0,0,0,0.12,0,0,0,0,0,0
553,QB,11854,"Gilbert, Garrett",CLE,TEN,0,0,0,0,0,0,0,0,0,0,0
554,RB,13053,"Kerridge, Joe",CLE,TEN,0,0,0,0,0,0,0,0,0,0,0
555,QB,13119,"Dobbs, Joshua",PIT,NEP,0.58,3,0,0.11,0.74,1,0,0,0,0,0
556,RB,13875,"Thompson, Mark",DET,ARI,0,0,0,0,0.12,0,0,0,0,0,0
557,RB,13616,"Walton, Mark",MIA,BAL,0,0,0,0,0.4,1,0,0.32,1,0.05,0
558,WR,13652,"Wilson, Cedrick",DAL,NYG,0,0,0,0,0.18,0,0,0.18,1,0,0
559,WR,13644,"Wims, Javon",CHI,GBP,0,0,0,0,0,0,0,0,0,0,0
560,WR,13643,"Cobbs, Simmie",NOS,HOU,0,0,0,0,0,0,0,0,0,0,0
561,WR,13641,"McCloud, Ray-Ray",BUF,NYJ,0,0,0,0,0.19,0,0,0.31,2,0,0
562,WR,13636,"Cain, Deon",IND,LAC,0,0,0,0,0,0,0,0,0,0,0
563,RB,13623,"Williams, Darrel",KCC,JAC,0,0,0,0,0.89,2,0.05,0.1,1,0.01,0
564,RB,13619,"Kelly, John",LAR,CAR,0,0,0,0,0.23,0,0,0,0,0,0
565,RB,13615,"Scarbrough, Bo",SEA,CIN,0,0,0,0,0,0,0,0,0,0,0
566,WR,13657,"Moore, J'Mon",GBP,CHI,0,0,0,0,0,0,0,0.1,1,0,0
567,RB,13603,"Flowers, Quinton",CIN,SEA,0,0,0,0,0,0,0,0,0,0,0
568,QB,13601,"Lauletta, Kyle",NYG,DAL,0,0,0,0.04,0.03,0,0,0,0,0,0
569,QB,13599,"Lee, Tanner",FA,,0,0,0,0,0,0,0,0,0,0,0
570,QB,13598,"White, Mike",DAL,NYG,0,0,0,0,0,0,0,0,0,0,0
571,QB,13595,"Rudolph, Mason",PIT,NEP,0,0,0,0,0,0,0,0,0,0,0
572,QB,13594,"Falk, Luke",NYJ,BUF,0,0,0,0,0,0,0,0,0,0,0
573,WR,13585,"Zylstra, Brandon",MIN,ATL,0,0,0,0,0,0,0,0,0,0,0
574,WR,13656,"Weah, Jester",HOU,NOS,0,0,0,0,0,0,0,0,0,0,0
575,WR,13663,"Scott, Jaleel",BAL,MIA,0,0,0,0,0,0,0,0,0,0,0
576,TE,13549,"Vander Laan, Jason",CAR,LAR,0,0,0,0,0,0,0,0,0,0,0
577,TE,13847,"Izzo, Ryan",NEP,PIT,0,0,0,0,0,0,0,0.06,1,0,0
578,RB,13874,"Wilson, Shaun",WAS,PHI,0,0,0,0,0.16,1,0,0,0,0,0
579,QB,13873,"Boyle, Tim",GBP,CHI,0,0,0,0,0,0,0,0,0,0,0
580,TE,13872,"Hunt, Cole",CAR,LAR,0,0,0,0,0,0,0,0,0,0,0
581,RB,13868,"Boone, Mike",MIN,ATL,0,0,0,0,0.63,2,0,0.15,0,0,0
582,WR,13862,"Cracraft, River",DEN,OAK,0,0,0,0,0,0,0,0,0,0,0
583,TE,13857,"Yelder, Deon",KCC,JAC,0,0,0,0,0,0,0,0.02,0,0,0
584,RB,13849,"Nall, Ryan",CHI,GBP,0,0,0,0,0.1,0,0,0,0,0,0
585,QB,13846,"Woodside, Logan",TEN,CLE,0,0,0,0,0,0,0,0,0,0,0
586,TE,13673,"Fumagalli, Troy",DEN,OAK,0,0,0,0,0,0,0,0,0,0,0
587,RB,13838,"Bawden, Nick",DET,ARI,0,0,0,0,0.1,0,0,0,0,0,0
588,QB,13825,"McGough, Alex",JAC,KCC,0,0,0,0,0,0,0,0,0,0,0
589,RB,13811,"Smith, Tremon",KCC,JAC,0,0,0,0,0,0,0,0,0,0,0
590,WR,13809,"Gage, Russell",ATL,MIN,0,0,0,0,0.02,0,0,0.26,3,0,0
591,WR,13724,"James, Richie",SFO,TBB,0,0,0,0,0,0,0,0,0,0,0
592,TE,13676,"Smythe, Durham",MIA,BAL,0,0,0,0,0,0,0,0.33,2,0,0
593,TE,13675,"Conklin, Tyler",MIN,ATL,0,0,0,0,0,0,0,0.15,2,0,0
594,WR,13573,"Brent, K.J.",TBB,SFO,0,0,0,0,0,0,0,0,0,0,0
595,TE,13546,"Griffin, Garrett",NOS,HOU,0,0,0,0,0,0,0,0.16,1,0.02,0
596,QB,13120,"Webb, Davis",NYJ,BUF,0,0,0,0,0,0,0,0,0,0,0
597,WR,13162,"Ford, Isaiah",MIA,BAL,0,0,0,0,0,0,0,0,0,0,0
598,WR,13289,"Hollins, Mack",PHI,WAS,0,0,0,0,0,0,0,0.09,1,0,0
599,WR,13238,"Davis, Robert",WAS,PHI,0,0,0,0,0,0,0,0.49,4,0,0
600,WR,13235,"Malone, Josh",CIN,SEA,0,0,0,0,0.07,0,0,0.14,1,0,0
601,TE,13194,"Sprinkle, Jeremy",WAS,PHI,0,0,0,0,0,0,0,0.03,0,0.01,0
602,WR,13184,"Dural, Travin",NOS,HOU,0,0,0,0,0,0,0,0,0,0,0
603,WR,13179,"Dieter, Gehrig",KCC,JAC,0,0,0,0,0,0,0,0.01,0,0,0
604,WR,13166,"Darboh, Amara",SEA,CIN,0,0,0,0,0,0,0,0.23,2,0,0
605,WR,13161,"Scott, Artavis",LAC,IND,0,0,0,0,0.18,1,0,0.38,3,0,0
606,RB,13334,"Henderson, De'Angelo",MIN,ATL,0,0,0,0,0.28,2,0,0,0,0,0
607,RB,13150,"Davis, Justin",LAR,CAR,0,0,0,0,0.08,0,0,0,0,0,0
608,RB,13143,"McNichols, Jeremy",TEN,CLE,0,0,0,0,0.19,0,0,0,0,0,0
609,RB,13142,"Logan, T.J.",ARI,DET,0,0,0,0,0.58,1,0,0.46,3,0,0
610,RB,13141,"Hood, Elijah",JAC,KCC,0,0,0,0,0,0,0,0,0,0,0
611,RB,13137,"Pumphrey, Donnel",PHI,WAS,0,0,0,0,0,0,0,0,0,0,0
612,QB,13127,"Peterman, Nathan",OAK,DEN,0.22,2,0,0.11,0.06,0,0,0,0,0,0
613,QB,13124,"Rush, Cooper",DAL,NYG,0,0,0,0,0,0,0,0,0,0,0
614,TE,13315,"Saubert, Eric",NEP,PIT,0,0,0,0,0,0,0,0.14,2,0,0
615,RB,13357,"Mays, Devante",JAC,KCC,0,0,0,0,0.25,0,0,0,0,0,0
616,WR,13544,"Wilson, Bobo",TBB,SFO,0,0,0,0,0.16,0,0,0.26,4,0.01,0
617,TE,13427,"Tonyan, Robert",GBP,CHI,0,0,0,0,0,0,0,0.12,1,0.01,0
618,WR,13529,"Natson, JoJo",LAR,CAR,0,0,0,0,0,0,0,0,0,0,0
619,TE,13511,"Hikutini, Cole",MIN,ATL,0,0,0,0,0,0,0,0,0,0,0
620,WR,13505,"Hall, Marvin",CHI,GBP,0,0,0,0,0.12,0,0,0.24,3,0,0
621,TE,13476,"Baylis, Evan",GBP,CHI,0,0,0,0,0,0,0,0,0,0,0
622,RB,13452,"Edmunds, Trey",PIT,NEP,0,0,0,0,0,0,0,0,0,0,0
623,TE,13445,"Auclair, Antony",TBB,SFO,0,0,0,0,0,0,0,0.29,2,0,0
624,TE,13438,"Culkin, Sean",LAC,IND,0,0,0,0,0,0,0,0.05,1,0,0
625,WR,13421,"Reilly, Brandon",PIT,NEP,0,0,0,0,0,0,0,0,0,0,0
626,RB,13359,"Muhammad, Khalfani",DEN,OAK,0,0,0,0,0.72,2,0,0.06,0,0,0
627,QB,13416,"Walker, Phillip",IND,LAC,0,0,0,0,0,0,0,0,0,0,0
628,TE,13396,"Daniels, Darrell",ARI,DET,0,0,0,0,0,0,0,0,0,0,0
629,TE,13391,"Hollister, Jacob",SEA,CIN,0,0,0,0,0,0,0,0.02,0,0,0
630,QB,13389,"Sloter, Kyle",MIN,ATL,0,0,0,0,0,0,0,0,0,0,0
631,WR,13372,"Gentry, Tanner",CHI,GBP,0,0,0,0,0,0,0,0,0,0,0
632,WR,13371,"Hatcher, Keon",OAK,DEN,0,0,0,0,0,0,0,0,0,0,0
633,TE,13366,"Schreck, Mason",CIN,SEA,0,0,0,0,0,0,0,0,0,0,0
634,QB,9992,"Webb, Joe",HOU,NOS,0,0,0,0,0,0,0,0,0,0,0
