Rank,ID,Name,Team,Opp,Att,Yards,TDs,Tgt,Rec,Yards,TDs,Fantasy Points
99,12857,"Washington, DeAndre",OAK,DEN,1.66,5,0,1,0.35,2,0,1
100,12447,"Mostert, Raheem",SFO,TBB,1.46,9,0.01,0,0.34,1,0,1
101,14096,"Ozigbo, Devine",NOS,HOU,1.87,7,0.02,0,0.22,1,0.07,1
102,14074,"Williams, Dexter",GBP,CHI,1.31,4,0,0,0.2,1,0,1
103,11432,"Cunningham, Benny",FA,,1.13,3,0,1,0.34,2,0,1
104,14094,"Scarlett, Jordan",CAR,LAR,1.94,5,0,0,0.12,1,0,1
105,13868,"Boone, Mike",MIN,ATL,0.85,3,0,0,0.35,2,0,1
106,14097,"Ollison, Qadree",ATL,MIN,0,0,0,0,0,0,0,0
107,10368,"Jones, Taiwan",HOU,NOS,0,0,0,0,0,0,0,0
108,14072,"Snell Jr., Benny",PIT,NEP,0.5,1,0,0,0.08,0,0,0
109,14331,"Johnson, D'Ernest",CLE,TEN,0,0,0,0,0,0,0,0
110,14338,"Hilliman, Jon",NYG,DAL,0,0,0,0,0,0,0,0
111,14095,"Johnson, Ty",DET,ARI,1.04,1,0,0,0.15,1,0,0
112,14029,"Ford, Keith",GBP,CHI,0.27,1,0,0,0.08,1,0,0
113,14077,"Weber, Mike",DAL,NYG,0.05,0,0,0,0,0,0,0
114,14314,"Anderson, Bruce",TBB,SFO,0,0,0,0,0,0,0,0
115,14093,"Armstead, Ryquell",JAC,KCC,0.8,2,0,0,0.14,1,0,0
116,14076,"Williams, Trayveon",CIN,SEA,0.97,3,0,0,0.15,1,0,0
117,13961,"Dawkins, Dalyn",TEN,CLE,0,0,0,0,0,0,0,0
118,14078,"Higdon, Karan",HOU,NOS,0,0,0,0,0,0,0,0
119,14088,"Anderson, Rodney",CIN,SEA,0,0,0,0,0,0,0,0
120,12169,"Rawls, Thomas",JAC,KCC,0.31,1,0,0,0,0,0,0
121,12155,"Abdullah, Ameer",MIN,ATL,0.21,0,0,0,0.19,2,0,0
122,14081,"Gaskin, Myles",MIA,BAL,0,0,0,0,0,0,0,0
123,14295,"Cox, Chandler",MIA,BAL,0,0,0,0,0,0,0,0
124,14082,"Love, Bryce",WAS,PHI,0,0,0,0,0,0,0,0
125,14083,"Homer, Travis",SEA,CIN,0.5,0,0,0,0,0,0,0
126,14084,"Holyfield, Elijah",CAR,LAR,0.15,0,0,0,0.02,0,0,0
127,14086,"Hill, Justice",BAL,MIA,0.2,0,0,0,0,0,0,0
128,14289,"Whyte, Kerrith",CHI,GBP,0.19,0,0,0,0,0,0,0
129,14098,"Crockett, Damarea",HOU,NOS,0,0,0,0,0,0,0,0
130,11964,"Perry, Senorise",BUF,NYJ,0,0,0,0,0,0,0,0
131,13958,"Turner, De'Lance",BAL,MIA,0.25,1,0,0,0.13,0,0,0
132,13057,"Carson, Tra",GBP,CHI,0.09,0,0,0,0,0,0,0
133,13143,"McNichols, Jeremy",TEN,CLE,0.2,0,0,0,0,0,0,0
134,13142,"Logan, T.J.",ARI,DET,0.58,1,0,1,0.46,3,0,0
135,13141,"Hood, Elijah",CAR,LAR,0.42,0,0,0,0,0,0,0
136,13137,"Pumphrey, Donnel",PHI,WAS,0,0,0,0,0,0,0,0
137,13134,"Foreman, D'Onta",IND,LAC,0,0,0,0,0,0,0,0
138,12631,"Perkins, Paul",NYG,DAL,0.33,1,0,0,0.02,0,0,0
139,12929,"Pope, Troymaine",LAC,IND,0,0,0,0,0,0,0,0
140,13150,"Davis, Justin",LAR,CAR,0.08,0,0,0,0,0,0,0
141,12923,"Ham, C.J.",MIN,ATL,0.26,0,0,1,0.37,3,0,0
142,12867,"Wilds, Brandon",SFO,TBB,0.36,1,0,0,0,0,0,0
143,12845,"Washington, Dwayne",NOS,HOU,1.05,3,0,0,0,0,0,0
144,12642,"Farrow, Kenneth",MIA,BAL,0.17,0,0,0,0,0,0,0
145,12640,"Ferguson, Josh",HOU,NOS,0.35,1,0,0,0.06,1,0,0
146,12639,"Ervin, Tyler",BAL,MIA,0.13,0,0,0,0.09,0,0,0
147,11894,"Fluellen, David",TEN,CLE,0.12,0,0,0,0,0,0,0
148,13148,"Ogunbowale, Dare",TBB,SFO,0.48,0,0,0,0,0,0,0
149,13359,"Muhammad, Khalfani",DEN,OAK,0.72,2,0,0,0.06,0,0,0
