"Draft Planner Cheat Sheet",VBD2,Value Based Drafting from Draft Planner,08/06/2019,710
Rank,ID,"Last Name","First Name",Position,Team,Points,VBD,"Bye Week"
241,9831,Tate,Golden,WR,NYG,123.2,-75.5,11
242,11850,Enunwa,Quincy,WR,NYJ,121.7,-77.0,4
243,12317,Uzomah,C.J.,TE,CIN,84.8,-77.2,9
244,13412,Cole,Keelan,WR,JAC,121.3,-77.4,10
245,8247,Davis,Vernon,TE,WAS,84.5,-77.5,10
246,10737,Benjamin,Travis,WR,LAC,120.5,-78.2,12
247,12181,Agholor,Nelson,WR,PHI,120.4,-78.3,10
248,12391,Williams,Tyrell,WR,OAK,120.1,-78.6,6
249,13592,Darnold,Sam,QB,NYJ,234.2,-78.7,4
250,14087,Henderson,Darrell,RB,LAR,139.1,-79.2,9
251,12596,LaCosse,Matt,TE,NEP,82.5,-79.5,10
252,12211,James,Jesse,TE,DET,81.9,-80.2,5
253,11975,Gabriel,Taylor,WR,CHI,118.5,-80.2,6
254,13672,Gesicki,Mike,TE,MIA,80.5,-81.6,5
255,10398,Smith,Lee,TE,BUF,80.0,-82.1,6
256,13678,Thomas,Ian,TE,CAR,78.6,-83.4,7
257,9308,Amendola,Danny,WR,DET,114.9,-83.8,5
258,12505,Humphries,Adam,WR,TEN,113.7,-85.0,11
259,13176,Jones,Zay,WR,BUF,113.1,-85.6,6
260,13144,McGuire,Elijah,RB,NYJ,132.4,-85.9,4
261,12153,Yeldon,T.J.,RB,BUF,131.4,-86.9,6
262,13155,Ross,John,WR,CIN,111.3,-87.4,9
263,11657,Hyde,Carlos,RB,KCC,130.8,-87.5,12
264,11951,Snead,Willie,WR,BAL,110.3,-88.4,8
265,11182,Burkhead,Rex,RB,NEP,129.4,-88.9,10
266,11454,Anderson,C.J.,RB,DET,128.9,-89.4,5
267,13850,Edwards,Gus,RB,BAL,128.7,-89.5,8
268,12378,Swaim,Geoff,TE,JAC,72.4,-89.7,10
269,13139,Williams,Jamaal,RB,GBP,127.6,-90.7,11
270,12680,Vannett,Nick,TE,SEA,71.2,-90.8,11
271,13236,Everett,Gerald,TE,LAR,70.9,-91.2,9
272,13722,Jarwin,Blake,TE,DAL,70.5,-91.5,8
273,13649,Hamilton,DaeSean,WR,DEN,106.7,-92.0,10
274,13621,Ballage,Kalen,RB,MIA,123.9,-94.4,5
275,13382,Seals-Jones,Ricky,TE,ARZ,66.3,-95.7,12
276,11193,Bernard,Giovani,RB,CIN,122.2,-96.1,9
277,12678,Higbee,Tyler,TE,LAR,65.2,-96.8,9
278,11337,Fells,Darren,TE,HOU,65.0,-97.0,10
279,12188,Dorsett,Phillip,WR,NEP,101.3,-97.4,10
280,14075,Harris,Damien,RB,NEP,120.5,-97.8,10
281,12912,Richard,Jalen,RB,OAK,119.4,-98.9,6
282,13680,Hurst,Hayden,TE,BAL,61.1,-101.0,8
283,12212,Kroft,Tyler,TE,BUF,60.1,-101.9,6
284,12208,Heuerman,Jeff,TE,DEN,59.6,-102.5,10
285,11890,Wilson,Albert,WR,MIA,95.6,-103.1,5
286,13418,Bourne,Kendrick,WR,SFO,94.5,-104.2,4
287,10409,Clay,Charles,TE,ARZ,57.6,-104.4,12
288,12197,Perriman,Breshad,WR,TBB,93.3,-105.4,7
289,12934,Rogers,Chester,WR,IND,93.2,-105.5,6
290,10709,Martin,Doug,RB,OAK,112.5,-105.8,6
291,9427,Crabtree,Michael,WR,ARZ,92.2,-106.5,12
292,11834,Blue,Alfred,RB,JAC,111.7,-106.6,10
293,12917,Harris,Maurice,WR,NEP,90.0,-108.7,10
294,13254,Shaheen,Adam,TE,CHI,52.3,-109.7,6
295,7877,Gore,Frank,RB,BUF,107.7,-110.6,6
296,13168,Reynolds,Josh,WR,LAR,88.1,-110.6,9
297,10838,Ellison,Rhett,TE,NYG,50.7,-111.3,11
298,10308,Cobb,Randall,WR,DAL,86.8,-111.9,8
299,12636,Smallwood,Wendell,RB,PHI,104.9,-113.4,10
300,13919,Firkser,Anthony,TE,TEN,48.4,-113.7,11
301,9912,Dickson,Ed,TE,SEA,47.3,-114.7,11
302,10973,Beasley,Cole,WR,BUF,83.9,-114.8,6
303,13653,Foster,Robert,WR,BUF,83.3,-115.4,6
304,12785,Robinson,Demarcus,WR,KCC,82.6,-116.1,12
305,13664,Quinn,Trey,WR,WAS,81.4,-117.3,10
306,9884,Thomas,Demaryius,WR,NEP,81.2,-117.5,10
307,14104,Brown,A.J.,WR,TEN,80.9,-117.8,11
308,10734,Wright,Jarius,WR,CAR,80.5,-118.2,7
309,13348,Moore,David,WR,SEA,80.3,-118.4,11
310,10432,Green,Virgil,TE,LAC,41.7,-120.3,12
311,11252,Toilolo,Levine,TE,SFO,41.7,-120.3,4
312,11448,Harris,Demetrius,TE,CLE,41.3,-120.7,7
313,11701,Grimble,Xavier,TE,PIT,40.6,-121.4,7
314,13246,Alie-Cox,Mo,TE,IND,40.5,-121.5,6
315,11399,Griffin,Ryan,TE,NYJ,40.0,-122.1,4
316,11529,Hill,Josh,TE,NOS,39.8,-122.3,9
317,14143,Knox,Dawson,TE,BUF,39.4,-122.6,6
318,13591,Rosen,Josh,QB,MIA,190.2,-122.7,5
319,10983,Hogan,Chris,WR,CAR,75.5,-123.2,7
320,11007,Celek,Garrett,TE,SFO,38.6,-123.5,4
321,13564,Ficken,Sam,K,GBP,7.9,-123.7,11
322,12328,Boyle,Nick,TE,BAL,38.0,-124.0,8
323,13890,Croom,Jason,TE,BUF,37.4,-124.6,6
324,12330,O'Shaughnessy,James,TE,JAC,37.2,-124.8,10
325,13819,Thomas,Jordan,TE,HOU,37.2,-124.8,10
326,7942,Sproles,Darren,RB,PHI,93.4,-124.9,10
327,13753,Akins,Jordan,TE,HOU,35.5,-126.5,10
328,11237,Shepard,Russell,WR,NYG,71.2,-127.5,11
329,14112,Campbell,Parris,WR,IND,71.0,-127.7,6
330,14140,Sternberger,Jace,TE,GBP,34.4,-127.7,11
331,14123,Renfrow,Hunter,WR,OAK,70.8,-127.9,6
332,12471,Roberts,Seth,WR,BAL,70.5,-128.2,8
333,13880,Arnold,Dan,TE,NOS,33.5,-128.6,9
334,12814,Grant,Jakeem,WR,MIA,70.0,-128.7,5
335,11188,Riddick,Theo,RB,DEN,89.1,-129.2,10
336,10354,Stocker,Luke,TE,ATL,32.8,-129.2,9
337,12213,Bell,Blake,TE,KCC,31.1,-131.0,12
344,13065,Tomlinson,Eric,TE,NYJ,30.1,-131.9,4
345,14105,Brown,Marquise,WR,BAL,66.6,-132.1,8
346,11381,Willson,Luke,TE,OAK,29.7,-132.3,6
347,10742,Allen,Dwayne,TE,MIA,27.8,-134.2,5
348,12164,Davis,Mike,RB,CHI,83.7,-134.6,6
349,11225,Patterson,Cordarrelle,WR,CHI,63.1,-135.6,6
350,12792,DeValve,Seth,TE,CLE,24.8,-137.2,7
351,13631,Washington,James,WR,PIT,61.3,-137.4,7
352,14223,Mattison,Alexander,RB,MIN,80.8,-137.5,12
353,13488,Pascal,Zach,WR,IND,61.2,-137.5,6
354,14209,Oliver,Josh,TE,JAC,24.5,-137.6,10
355,13133,Perine,Samaje,RB,WAS,80.1,-138.2,10
356,11076,Kearse,Jermaine,WR,DET,60.4,-138.3,5
357,13136,Clement,Corey,RB,PHI,79.8,-138.5,10
358,11758,Latimer,Cody,WR,NYG,59.7,-139.0,11
359,14284,Thompson,Darwin,RB,KCC,79.1,-139.2,12
360,10699,Foles,Nick,QB,JAC,173.3,-139.6,10
361,13167,Taylor,Taywan,WR,TEN,58.2,-140.5,11
362,8269,Lewis,Marcedes,TE,GBP,20.6,-141.5,11
363,12309,Pruitt,MyCole,TE,TEN,20.5,-141.6,11
364,12206,Williams,Maxx,TE,ARZ,20.4,-141.7,12
365,14195,Warring,Kahale,TE,HOU,20.0,-142.1,10
366,13776,Watson,Justin,WR,TBB,56.3,-142.4,7
367,13637,St. Brown,Equanimeous,WR,GBP,55.9,-142.8,11
368,13195,Leggett,Jordan,TE,TBB,18.7,-143.4,7
369,12629,Booker,Devontae,RB,DEN,74.2,-144.1,10
370,14141,Smith Jr.,Irv,TE,MIN,17.7,-144.3,12
371,11957,Inman,Dontrelle,WR,NEP,54.4,-144.4,10
372,13135,Gallman,Wayne,RB,NYG,73.6,-144.7,11
373,13772,Schultz,Dalton,TE,DAL,17.1,-144.9,8
374,12207,O'Leary,Nick,TE,MIA,16.9,-145.1,5
375,14124,Johnson,KeeSean,WR,ARZ,53.5,-145.2,12
376,14136,Samuel,Deebo,WR,SFO,52.8,-145.9,4
377,10123,Paulsen,Logan,TE,ATL,16.1,-146.0,9
378,14080,Singletary,Devin,RB,BUF,71.1,-147.2,6
379,10940,Carrier,Derek,TE,OAK,14.3,-147.7,6
380,12394,Carter,DeAndre,WR,HOU,50.5,-148.2,10
381,12657,Sharpe,Tajae,WR,TEN,50.3,-148.4,11
382,11456,Brown,Jaron,WR,SEA,49.8,-148.9,11
383,12257,Conley,Chris,WR,JAC,49.8,-149.0,10
384,12632,Dixon,Kenneth,RB,BAL,69.2,-149.1,8
385,12185,Hardy,Justin,WR,ATL,49.0,-149.7,9
386,12731,Rogers,Eli,WR,PIT,48.7,-150.0,7
387,13882,Kirkwood,Keith,WR,NOS,47.6,-151.1,9
388,12645,Treadwell,Laquon,WR,MIN,47.1,-151.7,12
389,13647,Ateman,Marcell,WR,OAK,47.0,-151.7,6
390,12138,Simonson,Scott,TE,NYG,10.0,-152.1,11
391,13377,Patrick,Tim,WR,DEN,46.6,-152.1,10
392,13165,Switzer,Ryan,WR,PIT,46.6,-152.1,7
393,10300,Rodgers,Jacquizz,RB,NOS,65.8,-152.5,9
394,13620,Jackson,Justin,RB,LAC,65.7,-152.6,12
395,13676,Smythe,Durham,TE,MIA,9.3,-152.8,5
396,12868,Braunecker,Ben,TE,CHI,8.9,-153.2,6
397,12859,Anderson,Stephen,TE,NEP,8.8,-153.2,10
398,12264,Zenner,Zach,RB,DET,65.1,-153.2,5
399,13190,Butt,Jake,TE,DEN,8.8,-153.2,10
400,13611,Adams,Josh,RB,PHI,64.9,-153.4,10
401,13445,Auclair,Antony,TE,TBB,8.6,-153.4,7
402,12816,Morgan,David,TE,MIN,8.2,-153.8,12
403,13108,McKissic,J.D.,RB,SEA,64.0,-154.3,11
404,13726,Edmonds,Chase,RB,ARZ,62.7,-155.6,12
405,12209,Koyack,Ben,TE,JAC,6.4,-155.6,10
406,10747,Charles,Orson,TE,CLE,6.3,-155.7,7
407,11199,Ware,Spencer,RB,IND,62.3,-156.0,6
408,11647,Thomas,Logan,TE,DET,5.8,-156.3,5
409,13316,Taylor,Trent,WR,SFO,42.0,-156.7,4
410,13427,Tonyan,Robert,TE,GBP,5.3,-156.7,11
411,13315,Saubert,Eric,TE,ATL,5.2,-156.8,9
412,13675,Conklin,Tyler,TE,MIN,5.0,-157.0,12
413,12955,Manhertz,Chris,TE,CAR,4.8,-157.2,7
414,13893,Sherfield,Trent,WR,ARZ,41.4,-157.3,12
415,12210,Walford,Clive,TE,NYJ,4.7,-157.3,4
416,11931,Fowler,Bennie,WR,NYG,41.3,-157.4,11
417,12640,Ferguson,Josh,RB,HOU,60.8,-157.4,10
418,10289,Smith,Torrey,WR,CAR,41.3,-157.5,7
419,11812,Grant,Ryan,WR,OAK,41.2,-157.5,6
420,13546,Griffin,Garrett,TE,NOS,4.1,-157.9,9
421,11213,Austin,Tavon,WR,DAL,39.5,-159.2,8
422,11785,Rodgers,Richard,TE,PHI,2.8,-159.3,10
423,12685,Perkins,Joshua,TE,PHI,2.4,-159.6,10
424,11367,Juszczyk,Kyle,RB,SFO,58.6,-159.7,4
425,12832,Jackson,Darius,RB,DAL,58.4,-159.9,8
426,13438,Culkin,Sean,TE,LAC,2.0,-160.1,12
427,13194,Sprinkle,Jeremy,TE,WAS,1.9,-160.1,10
428,12898,Travis,Ross,TE,IND,1.7,-160.3,6
429,13988,Dwelley,Ross,TE,SFO,1.5,-160.5,4
430,11925,Hurns,Allen,WR,MIA,38.2,-160.6,5
431,13391,Hollister,Jacob,TE,SEA,1.3,-160.7,11
432,14146,Sample,Drew,TE,CIN,1.2,-160.8,9
433,14240,Gentry,Zach,TE,PIT,1.0,-161.0,7
